stock_company,stock_code
CAREPLUS GROUP BERHAD,0163.KL
CARIMIN PETROLEUM BERHAD,5257.KL
CARLSBERG BREWERY MALAYSIA BERHAD,2836.KL
CARZO HOLDINGS BERHAD,03048.KL
CATCHA DIGITAL BERHAD,0173.KL
CB INDUSTRIAL PRODUCT HOLDING BERHAD,7076.KL
CCK CONSOLIDATED HOLDINGS BERHAD,7035.KL
CE TECHNOLOGY BERHAD,03024.KL
CEKD BERHAD,0238.KL
CENGILD MEDICAL BERHAD,0243.KL
CENSOF HOLDINGS BERHAD,5195.KL
CENTRAL GLOBAL BERHAD,8052.KL
CEPATWAWASAN GROUP BERHAD,8982.KL
CHEETAH HOLDINGS BERHAD,7209.KL
CHIN HIN GROUP BERHAD,5273.KL
CHIN HIN GROUP PROPERTY BERHAD,7187.KL
CHIN TECK PLANTATIONS BERHAD,1929.KL
CHIN WELL HOLDINGS BERHAD,5007.KL
CHINA AUTOMOBILE PARTS HOLDINGS LIMITED,5229.KL
CHINA OUHUA WINERY HOLDINGS LIMITED,5188.KL
CHOO BEE METAL INDUSTRIES BHD,5797.KL
CHUAN HUAT RESOURCES BHD,7016.KL
CIMB GROUP HOLDINGS BERHAD,1023.KL
CITAGLOBAL BERHAD,7245.KL
CITRA NUSA HOLDINGS BERHAD,5104.KL
CJ CENTURY LOGISTICS HOLDINGS BERHAD,7117.KL
CLASSIC SCENIC BERHAD,7202.KL
CLOUDARON GROUP BERHAD,03001.KL
CME GROUP BERHAD,7018.KL
CN ASIA CORPORATION BHD,7986.KL
CNERGENZ BERHAD,0246.KL
COASTAL CONTRACTS BHD,5071.KL
COCOALAND HOLDINGS BERHAD,7205.KL
COMFORT GLOVES BERHAD,2127.KL
COMINTEL CORPORATION BHD,7195.KL
COMPLETE LOGISTIC SERVICES BERHAD,5136.KL
COMPUGATES HOLDINGS BERHAD,5037.KL
COMPUTER FORMS (MALAYSIA) BERHAD,8044.KL
CONCRETE ENGINEERING PRODUCTS BERHAD,8435.KL
CORAZA INTEGRATED TECHNOLOGY BERHAD,0240.KL
COUNTRY HEIGHTS HOLDINGS BHD,5738.KL
COUNTRY VIEW BERHAD,5049.KL
CRESCENDO CORPORATION BERHAD,6718.KL
CREST BUILDER HOLDINGS BERHAD,8591.KL
CRG INCORPORATED BERHAD,03016.KL
CSC STEEL HOLDINGS BERHAD,5094.KL
CSH ALLIANCE BERHAD,7165.KL
CTOS DIGITAL BERHAD,5301.KL
CUSCAPI BERHAD,0051.KL
CWG HOLDINGS BERHAD,9423.KL
CYCLE & CARRIAGE BINTANG BERHAD,2925.KL
CYL CORPORATION BERHAD,7157.KL
CYPARK RESOURCES BERHAD,5184.KL
D & O GREEN TECHNOLOGIES BERHAD,7204.KL
DAGANG NEXCHANGE BERHAD,4456.KL
DAMANSARA HOLDINGS BERHAD,3484.KL
DANAINFRA NASIONAL BERHAD,0400GA.KL
DANAINFRA NASIONAL BERHAD,0400GB.KL
DANCOMECH HOLDINGS BERHAD,5276.KL
DATAPREP HOLDINGS BHD,8338.KL
DATASONIC GROUP BERHAD,5216.KL
DAYANG ENTERPRISE HOLDINGS BERHAD,5141.KL
DELEUM BERHAD,5132.KL
DESTINI BERHAD,7212.KL
DFCITY GROUP BERHAD,5165.KL
DGB ASIA BERHAD,0152.KL
DIALOG GROUP BERHAD,7277.KL
DIGI.COM BERHAD,6947.KL
DIGISTAR CORPORATION BERHAD,0029.KL
DIVFEX BERHAD,0131.KL
DKLS INDUSTRIES BHD,7528.KL
DKSH HOLDINGS (MALAYSIA) BERHAD,5908.KL
D'NONCE TECHNOLOGY BHD,7114.KL
DOLOMITE CORPORATION BERHAD,5835.KL
DOLPHIN INTERNATIONAL BERHAD,5265.KL
DOMINANT ENTERPRISE BERHAD,7169.KL
DPI HOLDINGS BERHAD,0205.KL
DPS RESOURCES BERHAD,7198.KL
DRB-HICOM BERHAD,1619.KL
DUFU TECHNOLOGY CORP. BERHAD,7233.KL
DUOPHARMA BIOTECH BERHAD,7148.KL
DUTALAND BERHAD,3948.KL
DUTCH LADY MILK INDUSTRIES BERHAD,3026.KL
DYNACIATE GROUP BERHAD,5178.KL
DYNAFRONT HOLDINGS BERHAD,03046.KL
E.A.TECHNIQUE (M) BERHAD,5259.KL
EA HOLDINGS BERHAD,0154.KL
EASTERN & ORIENTAL BERHAD,3417.KL
EASTLAND EQUITY BHD,2097.KL
ECM LIBRA GROUP BERHAD,2143.KL
ECO WORLD DEVELOPMENT GROUP BERHAD,8206.KL
ECO WORLD INTERNATIONAL BERHAD,5283.KL
ECOBUILT HOLDINGS BERHAD,0059.KL
ECOFIRST CONSOLIDATED BHD,3557.KL
ECOMATE HOLDINGS BERHAD,0239.KL
ECONFRAME BERHAD,0227.KL
ECONPILE HOLDINGS BERHAD,5253.KL
EDARAN BERHAD,5036.KL
EDEN INC. BERHAD,7471.KL
EDUSPEC HOLDINGS BERHAD,0107.KL
EFFICIENT E-SOLUTIONS BERHAD,0064.KL
EG INDUSTRIES BERHAD,8907.KL
EITA RESOURCES BERHAD,5208.KL
EKOVEST BERHAD,8877.KL
EKSONS CORPORATION BERHAD,9016.KL
ELK-DESA RESOURCES BERHAD,5228.KL
ELSOFT RESEARCH BERHAD,0090.KL
EMICO HOLDINGS BERHAD,9091.KL
ENCORP BERHAD,6076.KL
ENEST GROUP BERHAD,03025.KL
ENG KAH CORPORATION BERHAD,7149.KL
ENGTEX GROUP BERHAD,5056.KL
ENRA GROUP BERHAD,8613.KL
EONMETALL GROUP BERHAD,7217.KL
EP MANUFACTURING BHD,7773.KL
EQUITIESTRACKER HOLDINGS BERHAD,03021.KL
ES CERAMICS TECHNOLOGY BHD,0100.KL
ESTHETICS INTERNATIONAL GROUP BERHAD,5081.KL
EUPE CORPORATION BERHAD,6815.KL
EURO HOLDINGS BERHAD,7208.KL
EUROSPAN HOLDINGS BERHAD,7094.KL
EVERGREEN FIBREBOARD BERHAD,5101.KL
EVERSAFE RUBBER BERHAD,0190.KL
EVERSENDAI CORPORATION BERHAD,5205.KL
EWEIN BERHAD,7249.KL
EXCEL FORCE MSC BERHAD,0065.KL
FACB INDUSTRIES INCORPORATED BERHAD,2984.KL
FAJARBARU BUILDER GROUP BHD,7047.KL
FAR EAST HOLDINGS BERHAD,5029.KL
FARLIM GROUP (MALAYSIA) BHD,6041.KL
FARM FRESH BERHAD,5306.KL
FAST ENERGY HOLDINGS BERHAD,0084.KL
FAVELLE FAVCO BERHAD,7229.KL
FCW HOLDINGS BERHAD,2755.KL
FEDERAL INTERNATIONAL HOLDINGS BERHAD,8605.KL
FGV HOLDINGS BERHAD,5222.KL
FIAMMA HOLDINGS BERHAD,6939.KL
FIBON BERHAD,0149.KL
FIBROMAT (M) BERHAD,03026.KL
FIMA CORPORATION BERHAD,3107.KL
FINTEC GLOBAL BERHAD,0150.KL
FITTERS DIVERSIFIED BERHAD,9318.KL
FLEXIDYNAMIC HOLDINGS BERHAD,0231.KL
FM GLOBAL LOGISTICS HOLDINGS BERHAD,7210.KL
FOCUS DYNAMICS GROUP BERHAD,0116.KL
FOCUS LUMBER BERHAD,5197.KL
FOCUS POINT HOLDINGS BERHAD,0157.KL
FORMOSA PROSONIC INDUSTRIES BERHAD,9172.KL
FOUNDPAC GROUP BERHAD,5277.KL
FRASER & NEAVE HOLDINGS BHD,3689.KL
FRONTKEN CORPORATION BERHAD,0128.KL
FSBM HOLDINGS BERHAD,9377.KL
FTSE BURSA MALAYSIA KLCI ETF,0820EA.KL
G CAPITAL BERHAD,7676.KL
G NEPTUNE BERHAD,0045.KL
G3 GLOBAL BERHAD,7184.KL
GABUNGAN AQRS BERHAD,5226.KL
GADANG HOLDINGS BHD,9261.KL
GAGASAN NADI CERGAS BERHAD,0206.KL
GAMUDA BERHAD,5398.KL
GAS MALAYSIA BERHAD,5209.KL
GDB HOLDINGS BERHAD,0198.KL
GDEX BERHAD,0078.KL
GENETEC TECHNOLOGY BERHAD,0104.KL
GENTING BERHAD,3182.KL
GENTING MALAYSIA BERHAD,4715.KL
GENTING PLANTATIONS BERHAD,2291.KL
GEORGE KENT (MALAYSIA) BERHAD,3204.KL
GE-SHEN CORPORATION BERHAD,7197.KL
GETS GLOBAL BERHAD,5079.KL
GFM SERVICES BERHAD,0039.KL
GHL SYSTEMS BERHAD,0021.KL
GIIB HOLDINGS BERHAD,7192.KL
GLOBAL ORIENTAL BERHAD,1147.KL
GLOBALTEC FORMATION BERHAD,5220.KL
GLOBETRONICS TECHNOLOGY BERHAD,7022.KL
GLOMAC BERHAD,5020.KL
GOLDEN LAND BERHAD,7382.KL
GOLDEN PHAROS BERHAD,5649.KL
GOPENG BERHAD,2135.KL
GPP RESOURCES BERHAD,03029.KL
GRAND CENTRAL ENTERPRISES BHD,5592.KL
GREATECH TECHNOLOGY BERHAD,0208.KL
GREEN OCEAN CORPORATION BERHAD,0074.KL
GREEN PACKET BERHAD,0082.KL
GREENYIELD BERHAD,0136.KL
GROMUTUAL BERHAD,9962.KL
GUAN CHONG BERHAD,5102.KL
GUH HOLDINGS BERHAD,3247.KL
GUOCOLAND (MALAYSIA) BERHAD,1503.KL
HAILY GROUP BERHAD,0237.KL
HANDAL ENERGY BERHAD,7253.KL
HAP SENG CONSOLIDATED BERHAD,3034.KL
HAP SENG PLANTATIONS HOLDINGS BERHAD,5138.KL
HARBOUR-LINK GROUP BERHAD,2062.KL
HARN LEN CORPORATION BHD,7501.KL
HARRISONS HOLDINGS (MALAYSIA) BERHAD,5008.KL
HARTALEGA HOLDINGS BERHAD,5168.KL
HB GLOBAL LIMITED,5187.KL
HCK CAPITAL GROUP BERHAD,7105.KL
HEINEKEN MALAYSIA BERHAD,3255.KL
HEITECH PADU BERHAD,5028.KL
HEKTAR REAL ESTATE INVESTMENT TRUST,5121.KL
